ENSP,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000495862,True,True,False,True
ENSP00000351307,True,True,False,True
ENSP00000488886,True,True,False,True
ENSP00000496168,True,True,False,True
ENSP00000338774,True,True,False,True
ENSP00000494996,True,True,False,True
ENSP00000496736,True,True,False,True
ENSP00000493887,True,True,False,True
ENSP00000487844,True,True,False,True
ENSP00000496304,True,True,False,True
ENSP00000494397,True,True,False,True
ENSP00000494014,True,True,False,True
ENSP00000280435,True,True,True,True
ENSP00000349723,True,True,True,True
ENSP00000387419,True,True,True,True
ENSP00000504546,True,True,False,True
ENSP00000504190,True,True,False,True
ENSP00000503628,True,True,False,True
ENSP00000329623,True,True,False,True
ENSP00000381185,True,True,False,True
ENSP00000504566,True,True,False,True
ENSP00000503945,True,True,False,True
ENSP00000466417,True,True,False,True
ENSP00000483272,True,False,False,True
ENSP00000393803,True,False,False,True
ENSP00000246785,True,False,False,True
ENSP00000513795,True,False,False,True
ENSP00000513796,True,False,False,True
ENSP00000513797,True,False,False,True
ENSP00000513798,True,False,False,True
ENSP00000513799,True,False,False,True
ENSP00000513800,True,False,False,True
ENSP00000513801,True,False,False,True
ENSP00000513802,True,False,False,True
ENSP00000513803,True,False,False,True
ENSP00000246784,True,False,False,True
ENSP00000469216,True,False,False,True
ENSP00000471919,True,False,False,True
ENSP00000470644,True,False,False,True
ENSP00000472214,True,False,False,True
ENSP00000164227,True,True,False,True
ENSP00000393731,True,True,False,True
ENSP00000384371,True,True,False,True
ENSP00000398014,True,True,False,True
ENSP00000232014,True,True,False,True
ENSP00000413122,True,True,False,True
ENSP00000415574,True,True,False,True
ENSP00000414455,True,True,False,True
ENSP00000479784,True,True,False,True
ENSP00000445868,False,True,False,True
ENSP00000261822,False,True,False,True
ENSP00000506908,True,True,False,True
ENSP00000234739,True,True,False,True
ENSP00000507238,True,True,False,True
ENSP00000335320,True,False,True,True
ENSP00000507778,True,False,True,True
ENSP00000482938,True,False,True,True
ENSP00000491530,False,False,False,True
ENSP00000435210,False,False,False,True
ENSP00000437333,False,False,False,True
ENSP00000435441,False,False,False,True
ENSP00000436216,False,False,False,True
ENSP00000436501,False,False,False,True
ENSP00000434826,False,False,False,True
ENSP00000433822,False,False,False,True
ENSP00000433505,False,False,False,True
ENSP00000436142,False,False,False,True
ENSP00000437018,False,False,False,True
ENSP00000376159,False,False,False,True
ENSP00000431734,False,False,False,True
ENSP00000436913,False,False,False,True
ENSP00000229446,False,False,False,True
ENSP00000487249,False,False,False,True
ENSP00000408006,False,True,True,True
ENSP00000380512,False,True,True,True
ENSP00000367716,False,True,True,True
ENSP00000345923,False,True,True,True
ENSP00000505761,False,True,True,True
ENSP00000367705,False,True,True,True
ENSP00000505507,False,True,True,True
ENSP00000483217,False,True,True,True
ENSP00000499892,False,True,True,True
ENSP00000387552,False,True,True,True
ENSP00000500446,False,True,True,True
ENSP00000403823,False,True,True,True
ENSP00000384485,False,True,True,True
ENSP00000390273,False,True,True,True
ENSP00000484149,True,False,True,True
ENSP00000476643,True,False,True,True
ENSP00000218147,True,False,True,True
ENSP00000437775,True,False,True,True
ENSP00000416520,True,False,True,True
ENSP00000352535,False,True,False,True
ENSP00000303507,False,True,False,True
ENSP00000396531,False,True,False,True
ENSP00000431718,True,True,True,True
ENSP00000501119,True,True,True,True
ENSP00000263464,True,True,True,True
ENSP00000501181,True,True,True,True
ENSP00000432907,True,True,True,True
ENSP00000393596,True,True,False,True
ENSP00000515025,True,True,False,True
ENSP00000515026,True,True,False,True
ENSP00000498175,True,True,False,True
ENSP00000413090,True,True,False,True
ENSP00000393590,True,True,False,True
ENSP00000347232,False,False,True,True
ENSP00000506682,False,False,True,True
ENSP00000497646,False,False,True,True
ENSP00000454158,False,False,True,True
ENSP00000453359,False,False,True,True
ENSP00000506117,False,False,True,True
ENSP00000359866,False,False,False,True
ENSP00000489707,True,False,True,True
ENSP00000492290,True,False,True,True
ENSP00000490273,True,False,True,True
ENSP00000361107,True,False,True,True
ENSP00000483569,True,False,True,True
ENSP00000419060,True,True,False,True
ENSP00000496776,True,True,False,True
ENSP00000493543,True,True,False,True
ENSP00000493678,True,True,False,True
ENSP00000288602,True,True,False,True
ENSP00000494784,True,True,False,True
ENSP00000418033,True,True,False,True
ENSP00000495132,True,True,False,True
ENSP00000493783,True,True,False,True
ENSP00000420119,True,True,False,True
ENSP00000495858,True,True,False,True
ENSP00000418986,False,False,True,True
ENSP00000420781,False,False,True,True
ENSP00000420412,False,False,True,True
ENSP00000350283,False,False,True,True
ENSP00000420201,False,False,True,True
ENSP00000419988,False,False,True,True
ENSP00000312236,False,False,True,True
ENSP00000418819,False,False,True,True
ENSP00000419103,False,False,True,True
ENSP00000418960,False,False,True,True
ENSP00000498906,False,False,True,True
ENSP00000489431,False,False,True,True
ENSP00000417554,False,False,True,True
ENSP00000419274,False,False,True,True
ENSP00000478114,False,False,True,True
ENSP00000417241,False,False,True,True
ENSP00000494614,False,False,True,True
ENSP00000417148,False,False,True,True
ENSP00000496570,False,False,True,True
ENSP00000419481,False,False,True,True
ENSP00000465818,False,False,True,True
ENSP00000467329,False,False,True,True
ENSP00000465347,False,False,True,True
ENSP00000418775,False,False,True,True
ENSP00000418548,False,False,True,True
ENSP00000420705,False,False,True,True
ENSP00000514849,False,False,True,True
ENSP00000514850,False,False,True,True
ENSP00000420253,False,False,True,True
ENSP00000495897,False,False,True,True
ENSP00000417988,False,False,True,True
ENSP00000439902,False,False,True,True
ENSP00000499438,False,False,True,True
ENSP00000499256,False,False,True,True
ENSP00000433168,False,False,True,True
ENSP00000499570,False,False,True,True
ENSP00000514856,False,False,True,True
ENSP00000434898,False,False,True,True
ENSP00000369497,False,False,True,True
ENSP00000514855,False,False,True,True
ENSP00000505508,False,False,True,True
ENSP00000506251,False,False,True,True
ENSP00000305918,True,True,False,True
ENSP00000360900,True,True,False,True
ENSP00000360908,True,True,False,True
ENSP00000406749,True,True,False,True
ENSP00000263377,True,True,False,True
ENSP00000506350,True,True,False,True
ENSP00000360901,True,True,False,True
ENSP00000353112,True,True,False,True
ENSP00000470481,True,True,False,True
ENSP00000470108,True,True,False,True
ENSP00000471240,True,True,False,True
ENSP00000507660,False,False,True,True
ENSP00000259008,False,False,True,True
ENSP00000508303,False,False,True,True
ENSP00000506943,False,False,True,True
ENSP00000507786,False,False,True,True
ENSP00000507646,False,False,True,True
ENSP00000507075,False,False,True,True
ENSP00000507691,False,False,True,True
ENSP00000508044,False,False,True,True
ENSP00000464654,False,False,True,True
ENSP00000507191,False,False,True,True
ENSP00000463272,False,False,True,True
ENSP00000508184,False,False,True,True
ENSP00000463827,False,False,True,True
ENSP00000508326,False,False,True,True
ENSP00000507964,False,False,True,True
ENSP00000462274,False,False,True,True
ENSP00000507450,False,False,True,True
ENSP00000506781,False,False,True,True
ENSP00000256015,False,True,True,True
ENSP00000433553,False,False,True,True
ENSP00000290551,False,False,True,True
ENSP00000512053,True,False,True,True
ENSP00000512054,True,False,True,True
ENSP00000512055,True,False,True,True
ENSP00000512056,True,False,True,True
ENSP00000512057,True,False,True,True
ENSP00000483570,True,False,True,True
ENSP00000512058,True,False,True,True
ENSP00000512059,True,False,True,True
ENSP00000308176,True,False,True,True
ENSP00000512060,True,False,True,True
ENSP00000512061,True,False,True,True
ENSP00000512062,True,False,True,True
ENSP00000512063,True,False,True,True
ENSP00000512064,True,False,True,True
ENSP00000512065,True,False,True,True
ENSP00000512066,True,False,True,True
ENSP00000512067,True,False,True,True
ENSP00000512068,True,False,True,True
ENSP00000512069,True,False,True,True
ENSP00000512070,True,False,True,True
ENSP00000512071,True,False,True,True
ENSP00000512078,True,False,True,True
ENSP00000287598,False,False,True,True
ENSP00000453861,False,False,True,True
ENSP00000398470,False,False,True,True
ENSP00000453643,False,False,True,True
ENSP00000456337,False,True,False,True
ENSP00000516647,False,True,False,True
ENSP00000489769,True,False,False,True
ENSP00000490889,True,False,False,True
ENSP00000418014,True,False,False,True
ENSP00000288139,True,False,False,True
ENSP00000288133,True,False,False,True
ENSP00000490039,True,False,False,True
ENSP00000490183,True,False,False,True
ENSP00000409174,True,False,False,True
ENSP00000491921,True,False,False,True
ENSP00000418045,True,False,False,True
ENSP00000489962,True,False,False,True
ENSP00000490108,True,False,False,True
ENSP00000494413,True,False,False,True
ENSP00000490908,True,False,False,True
ENSP00000489790,True,False,False,True
ENSP00000490523,True,False,False,True
ENSP00000490839,True,False,False,True
ENSP00000465918,True,False,False,True
ENSP00000320866,True,False,False,True
ENSP00000466037,True,False,False,True
ENSP00000504963,True,False,False,True
ENSP00000465105,True,False,False,True
ENSP00000306522,False,True,True,True
ENSP00000514978,False,True,True,True
ENSP00000451388,False,True,True,True
ENSP00000451510,False,True,True,True
ENSP00000514992,False,True,True,True
ENSP00000514979,False,True,True,True
ENSP00000514980,False,True,True,True
ENSP00000452505,False,True,True,True
ENSP00000450530,False,True,True,True
ENSP00000452319,False,True,True,True
ENSP00000514981,False,True,True,True
ENSP00000452184,False,True,True,True
ENSP00000514982,False,True,True,True
ENSP00000451443,False,True,True,True
ENSP00000514983,False,True,True,True
ENSP00000514993,False,True,True,True
ENSP00000514994,False,True,True,True
ENSP00000514995,False,True,True,True
ENSP00000451720,False,True,True,True
ENSP00000518174,False,True,True,True
ENSP00000518175,False,True,True,True
ENSP00000514996,False,True,True,True
ENSP00000514997,False,True,True,True
ENSP00000514998,False,True,True,True
ENSP00000452024,False,True,True,True
ENSP00000514999,False,True,True,True
ENSP00000515000,False,True,True,True
ENSP00000376241,False,True,False,True
ENSP00000477798,False,True,False,True
ENSP00000307674,False,True,False,True
ENSP00000466743,False,True,False,True
ENSP00000467437,False,True,False,True
ENSP00000465816,False,True,False,True
ENSP00000465769,False,True,False,True
