node_name,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000399718,False,False,False,False
ENSP00000279804,False,False,False,False
ENSP00000064571,False,False,False,False
ENSP00000299798,False,False,False,False
ENSP00000327509,False,False,False,False
ENSP00000379503,False,False,False,False
ENSP00000257904,True,False,False,True
ENSP00000437256,False,False,True,True
ENSP00000354874,False,False,False,False
ENSP00000240189,False,False,False,False
ENSP00000490375,False,False,False,False
ENSP00000498190,False,False,False,False
ENSP00000360696,False,False,False,False
ENSP00000478962,False,False,False,False
ENSP00000348472,False,False,False,False
ENSP00000275364,False,False,False,False
ENSP00000440185,False,False,False,False
ENSP00000341198,False,False,False,False
ENSP00000257189,False,False,False,False
ENSP00000365076,False,False,False,False
ENSP00000402644,False,False,False,False
ENSP00000472308,False,False,False,False
ENSP00000378699,False,False,False,False
ENSP00000281834,False,False,False,False
ENSP00000347140,False,False,False,False
ENSP00000357575,False,False,False,False
ENSP00000359410,False,False,False,False
ENSP00000468678,False,False,False,False
ENSP00000361601,False,False,False,False
ENSP00000307640,False,False,False,False
ENSP00000224073,False,False,False,False
ENSP00000365773,False,False,False,False
ENSP00000351250,False,True,True,True
ENSP00000321853,False,False,False,False
ENSP00000327724,False,False,False,False
ENSP00000338967,False,False,False,False
ENSP00000264012,False,False,False,False
ENSP00000347197,False,False,False,False
ENSP00000379287,False,False,False,False
ENSP00000297988,False,False,False,False
ENSP00000497185,False,False,False,False
ENSP00000322832,False,False,False,False
ENSP00000319817,False,False,False,False
ENSP00000401328,False,False,False,False
ENSP00000307567,False,False,False,False
ENSP00000386499,False,False,False,False
ENSP00000228510,False,False,False,False
ENSP00000359361,False,False,False,False
ENSP00000340305,False,False,False,False
ENSP00000428544,False,False,False,False
ENSP00000277942,False,False,False,False
ENSP00000353099,False,False,False,False
ENSP00000379702,False,False,False,False
ENSP00000396160,False,False,False,False
ENSP00000272839,False,False,False,False
ENSP00000348471,False,False,False,False
ENSP00000497737,False,False,False,False
ENSP00000253048,False,False,False,False
ENSP00000382828,False,False,False,False
ENSP00000305926,False,False,False,False
ENSP00000262193,False,False,False,False
ENSP00000347484,False,False,False,False
ENSP00000302716,False,False,False,False
ENSP00000253686,False,False,False,False
ENSP00000300575,False,False,False,False
ENSP00000428746,False,False,False,False
ENSP00000263382,False,False,False,False
ENSP00000327890,False,False,False,False
ENSP00000332194,False,False,False,False
ENSP00000357748,False,False,False,False
ENSP00000468782,False,False,False,False
ENSP00000497174,False,False,False,False
ENSP00000394770,False,False,False,False
ENSP00000442478,False,False,False,False
ENSP00000272223,False,False,False,False
ENSP00000329357,False,False,False,False
ENSP00000335444,False,False,False,False
ENSP00000362424,False,False,False,False
ENSP00000321835,True,True,False,True
ENSP00000316775,False,False,False,False
ENSP00000419599,False,False,False,False
ENSP00000462154,False,False,False,False
ENSP00000483386,False,False,False,False
ENSP00000366999,False,False,False,False
ENSP00000290399,False,False,False,False
ENSP00000203630,False,False,False,False
ENSP00000292616,False,False,False,False
ENSP00000333041,False,False,False,False
ENSP00000340083,False,False,False,False
ENSP00000433769,False,False,False,False
